# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.318670654296875000e+01 1.026143203489482403e-03 4.884333038330078125e+01 1.026143203489482403e-03 9.762170314788818359e-01
1.000000000000000000e+03 1.822232588892802596e-04 7.805184765174999484e-08 3.057557041756808758e-04 7.805184765174999484e-08 2.926275192294269800e-04
2.000000000000000000e+03 4.630952316801995039e-04 1.449888986826408654e-05 4.330632509663701057e-04 1.449888986826408654e-05 3.179830266162753105e-03
3.000000000000000000e+03 2.610024239402264357e-05 5.253917301217825297e-09 5.338588380254805088e-05 5.253917301217825297e-09 1.051238650688901544e-04
4.000000000000000000e+03 3.113780694548040628e-04 5.439612505142576993e-05 3.009217325598001480e-04 5.439612505142576993e-05 7.258908823132514954e-03
5.000000000000000000e+03 6.275258492678403854e-04 4.443152647581882775e-05 7.381427567452192307e-04 4.443152647581882775e-05 5.781079642474651337e-03
6.000000000000000000e+03 1.999909756705164909e-03 9.484938345849514008e-05 2.312011085450649261e-03 9.484938345849514008e-05 1.374870818108320236e-02
7.000000000000000000e+03 2.551940851844847202e-04 4.645383887691423297e-05 2.927964087575674057e-04 4.645383887691423297e-05 7.098441012203693390e-03
8.000000000000000000e+03 2.171460306271910667e-03 4.684748128056526184e-04 1.886182697489857674e-03 4.684748128056526184e-04 2.114162221550941467e-02
9.000000000000000000e+03 4.931254661642014980e-04 4.480753545976767782e-07 4.963369574397802353e-04 4.480753545976767782e-07 3.256886731833219528e-03
1.000000000000000000e+04 2.309083356522023678e-04 2.001199754886329174e-05 3.366855671629309654e-04 2.001199754886329174e-05 3.822589293122291565e-03
